Bait	Prey	MiST score
CA	P83881	0.00000
CA	P84077	0.00000
CA	P84085	0.00000
CA	P84090	0.00000
CA	P84098	0.00000
CA	P84103	0.00000
CA	P98175	0.00000
CA	P98179	0.00000
CA	Q00059	0.00000
CA	Q00325	0.00000
CA	Q00577	0.00000
CA	Q00765	0.00000
CA	Q00839	0.00000
CA	Q01064	0.00000
CA	Q01081	0.00000
CA	Q01082	0.00000
CA	Q01130	0.00000
CA	Q01546	0.00000
CA	Q01780	0.00000
CA	Q01804	0.00000
CA	Q01813	0.00000
CA	Q02241	0.00000
CA	Q02413	0.00000
CA	Q02487	0.00000
CA	Q02543	0.00000
CA	Q02790	0.00000
CA	Q02809	0.00000
CA	Q02878	0.00000
CA	Q02978	0.00000
CA	Q03013	0.00000
CA	Q03111	0.00000
CA	Q03135	0.00000
CA	Q03164	0.00000
CA	Q03468	0.00000
CA	Q03518	0.00000
CA	Q03701	0.00000
CA	Q03923	0.00000
CA	Q03924	0.00000
CA	Q04637	0.00000
CA	Q04695	0.00000
CA	Q04837	0.00000
CA	Q04917	0.00000
CA	Q06190	0.00000
CA	Q06210	0.00000
CA	Q06265	0.00000
CA	Q06330	0.00000
CA	Q06787	0.00000
CA	Q06830	0.00000
CA	Q06945	0.00000
CA	Q07000	0.00000
CA	Q07020	0.00000
CA	Q07021	0.00000
CA	Q07065	0.00000
CA	Q07666	0.00000
CA	Q07820	0.00000
CA	Q07864	0.00000
CA	Q07954	0.00000
CA	Q07955	0.00000
CA	Q08170	0.00000
CA	Q08211	0.00000
CA	Q08379	0.00000
CA	Q08380	0.00000
CA	Q08AM6	0.00000
CA	Q08J23	0.00000
CA	Q09028	0.00000
CA	Q09161	0.00000
CA	Q10570	0.00000
CA	Q12756	0.00000
CA	Q12766	0.00000
CA	Q12769	0.00000
CA	Q12789	0.00000
CA	Q12797	0.00000
CA	Q12849	0.00000
CA	Q12873	0.00000
CA	Q12874	0.00000
CA	Q12894	0.00000
CA	Q12899	0.00000
CA	Q12905	0.00000
CA	Q12906	0.00000
CA	Q12907	0.00000
CA	Q12931	0.00000
CA	Q12948	0.00000
CA	Q13042	0.00000
CA	Q13045	0.00000
CA	Q13084	0.00000
CA	Q13112	0.00000
CA	Q13123	0.00000
CA	Q13137	0.00000
CA	Q13148	0.00000
CA	Q13151	0.00000
CA	Q13162	0.00000
CA	Q13185	0.00000
CA	Q13200	0.00000
CA	Q13206	0.00000
CA	Q13233	0.00000
CA	Q13242	0.00000
CA	Q13243	0.00000
CA	Q13247	0.00000
CA	Q13257	0.00000
CA	Q13263	0.00000
CA	Q13283	0.00000
CA	Q13310	0.00000
CA	Q13315	0.00000
CA	Q13325	0.00000
CA	Q13347	0.00000
CA	Q13356	0.00000
CA	Q13395	0.00000
CA	Q13402	0.00000
CA	Q13405	0.00000
CA	Q13409	0.00000
CA	Q13415	0.00000
CA	Q13435	0.00000
CA	Q13445	0.00000
CA	Q13459	0.00000
CA	Q13501	0.00000
CA	Q13509	0.00000
CA	Q13523	0.00000
CA	Q13591	0.00000
CA	Q13595	0.00000
CA	Q13601	0.00000
CA	Q13610	0.00000
CA	Q13616	0.00000
CA	Q13617	0.00000
CA	Q13702	0.00000
CA	Q13724	0.00000
CA	Q13748	0.00000
CA	Q13765	0.00000
CA	Q13823	0.00000
CA	Q13868	0.00000
CA	Q13885	0.00000
CA	Q13895	0.00000
CA	Q13951	0.00000
CA	Q14004	0.00000
CA	Q14008	0.00000
CA	Q14011	0.00000
CA	Q14103	0.00000
CA	Q14126	0.00000
CA	Q14137	0.00000
CA	Q14139	0.00000
CA	Q14146	0.00000
CA	Q14152	0.00000
CA	Q14157	0.00000
CA	Q14197	0.00000
CA	Q14204	0.00000
CA	Q14241	0.00000
CA	Q14244	0.00000
CA	Q14254	0.00000
CA	Q14257	0.00000
CA	Q14258	0.00000
CA	Q14318	0.00000
CA	Q14331	0.00000
CA	Q14432	0.00000
CA	Q14444	0.00000
CA	Q14493	0.00000
CA	Q14494	0.00000
CA	Q14498	0.00000
CA	Q14525	0.00000
CA	Q14527	0.00000
CA	Q14532	0.00000
CA	Q14533	0.00000
CA	Q14566	0.00000
CA	Q14571	0.00000
CA	Q14574	0.00000
CA	Q14657	0.00000
CA	Q14669	0.00000
CA	Q14671	0.00000
CA	Q14681	0.00000
CA	Q14683	0.00000
CA	Q14684	0.00000
CA	Q14687	0.00000
CA	Q14690	0.00000
CA	Q14692	0.00000
CA	Q14694	0.00000
CA	Q14697	0.00000
CA	Q14739	0.00000
CA	Q14839	0.00000
CA	Q14966	0.00000
CA	Q14974	0.00000
CA	Q14978	0.00000
CA	Q14980	0.00000
CA	Q14CN4	0.00000
CA	Q15008	0.00000
CA	Q15020	0.00000
CA	Q15024	0.00000
CA	Q15029	0.00000
CA	Q15041	0.00000
CA	Q15050	0.00000
CA	Q15051	0.00000
CA	Q15058	0.00000
CA	Q15084	0.00000
CA	Q15125	0.00000
CA	Q15165	0.00000
CA	Q15170	0.00000
CA	Q15181	0.00000
CA	Q15208	0.00000
CA	Q15233	0.00000
CA	Q15269	0.00000
CA	Q15274	0.00000
CA	Q15287	0.00000
CA	Q15291	0.00000
CA	Q15293	0.00000
CA	Q15323	0.00000
CA	Q15345	0.00000
CA	Q15363	0.00000
CA	Q15365	0.00000
CA	Q15366	0.00000
CA	Q15369	0.00000
CA	Q15370	0.00000
CA	Q15386	0.00000
CA	Q15388	0.00000
CA	Q15392	0.00000
CA	Q15393	0.00000
CA	Q15427	0.00000
CA	Q15459	0.00000
CA	Q15477	0.00000
CA	Q15517	0.00000
CA	Q155Q3	0.00000
